town,apartments_condos_multis_per_residential_parcels_2011,assessed_home_value_changes_2009-2013,births_per_1000_residents_2010,boaters_per_10000_residents_2012,burglaries_per_10000_residents_2011,cars_motorcycles_&_trucks_average_age_2012,cars_per_1000_residents_2012,class_size_in_school_district_2011-2012,condos_as_perc_of_parcels_2012,crashes_per_1000_residents_2007-2011,culture_and_rec_spending_per_person_2012,education_spending_as_a_percent_2012,education_spending_per_resident_2012,expenditures_per_resident_2012,females_percent_in_community_2010,fire_dept_spending_as_a_percent_2012,firefighter_costs_per_resident_2012,fixed_costs_percent_2012,gun_licenses_per_1000_residents_2012,historic_places_per_10000_2013,home_schooled_per_1000_students_2011-2012,homes_built_in_39_or_before,household_member_who_is_2_races_or_more_per_1000_households_2010,households_average_size_2010,households_one-person_2010,hybrid_cars_per_1000_vehicles_2013,in_home_since_1969_or_earlier,income_average_per_resident_2010,income_change_per_resident_2007-2010,inmates_in_state_prison_per_1000_residents,liquor_licenses_per_10000_2011,median_age_2011,miles_driven_daily_per_household_05-07,minority_students_per_district_2012-2013,motorcycles_change_in_ownership_2000-2012,motorcycles_per_1000_2012,multi-generation_households_2010,police_costs_per_resident_2013,police_employees_per_10000_residents_2011,police_spending_as_a_percent_2012,population_change_1950-2010,population_change_2010-2011,presidential_fundraising_obama_vs_romney,property_crimes_per_10000_residents_2012,property_tax_change_09-13,pupils_per_cost_average_by_district_2011-2012,residential_taxes_as_percent_of_all_property_taxes_2013,saltwater_fishing_licenses_per_1000_2013,school_district_growth_09-13,single-person_households_percent_65_and_older,snowmobiles_per_10000_residents_2012,state_aid_as_a_percent_of_town_budget_2012,students_in_public_schools_2011,tax-exempt_property_2012,taxable_property_by_percent_2012,teacher_salaries_by_average_2011,teachers_percent_under_40_years_old_2011-2012,trucks_per_1000_residents_2012,violent_crimes_per_10000_residents_2012,voters_as_a_percent_of_population_2012,voters_change_in_registrations_between_1982-2012,voters_democrats_as_a_percent_2012,2020_votes,2020_biden_margin,population,vax_level
Abington,0.219,-0.149,12.1,137.6,63.5,9.9,435.7,24.3,0.129,144.2,35.0,50.1,1218.0,2315.0,51.1,4.59,106.0,18.4,51.2,1.3,7.5,26.9,5.8,2.61,25.1,14.0,8.1,29299,0.06,0.7,18.1,39.3,69.6,7.2,0.104,21.9,46.1,154.0,16.2,6.6,1.24,0.005,40.0,221.0,0.136,11855.0,85.5,25.1,-0.114,35.6,5.0,19.4,0.872,7.1,92.9,73887.0,0.32,354,25.3,10902,0.51,27.6,9660,10.0,4996.0,medium
Acton,0.329,-0.004,8.2,69.8,10.4,8.5,486.8,22.5,0.273,68.1,88.0,67.2,2336.0,3474.0,50.9,3.3,115.0,7.5,35.5,3.2,3.4,9.0,7.3,2.66,23.0,33.1,3.1,55496,-0.06,0.3,14.6,40.8,76.0,39.0,-0.231,11.1,24.4,149.0,20.4,4.3,5.25,0.01,320.0,108.0,0.15,11669.0,87.2,12.2,-0.017,31.9,3.2,8.7,0.968,6.3,93.7,75741.0,0.31,280,10.3,14398,0.34,28.0,13927,62.0,5773.0,high
Acushnet,0.05,-0.188,8.0,287.3,41.7,10.9,476.4,23.2,0.0,57.3,25.0,62.1,1353.0,2120.0,50.9,1.79,38.0,11.1,89.0,1.0,6.4,19.9,6.1,2.62,22.2,8.1,11.3,25483,-0.01,0.5,16.5,41.6,67.4,1.5,0.194,40.0,47.8,145.0,16.4,6.8,1.34,0.001,14.0,135.0,0.109,11533.0,91.8,37.9,-0.052,47.1,3.9,26.8,0.921,4.9,95.1,57227.0,0.43,379,12.5,7478,0.44,34.8,6068,-10.0,2640.0,low
Adams,0.209,-0.051,10.3,212.1,77.1,10.0,375.1,,0.006,55.5,59.0,38.4,538.0,1010.0,51.8,0.05,1.0,15.4,107.4,18.9,10.2,57.9,5.7,2.17,35.0,10.5,11.9,18626,-0.07,0.8,25.9,41.8,42.7,,-0.095,27.0,15.4,98.0,22.3,9.7,-0.29,-0.006,15.0,226.0,0.128,,82.7,5.4,,44.3,251.4,15.1,0.928,12.0,88.0,,,366,48.2,5980,-0.03,35.8,4441,33.0,1941.0,medium
Agawam,0.214,-0.107,9.6,246.1,19.3,9.7,487.5,19.2,0.144,98.7,40.0,46.5,1208.0,2581.0,52.2,4.67,121.0,17.9,,1.4,17.6,15.6,5.7,2.38,30.0,10.9,8.5,25179,-0.01,0.3,16.5,43.9,57.5,10.5,0.329,23.1,29.8,149.0,21.3,5.8,1.8,0.001,56.0,95.0,0.154,13398.0,76.0,13.0,-0.054,42.8,41.8,26.3,0.95,12.0,88.1,60647.0,0.36,328,11.8,21365,0.63,29.0,16185,-1.7,6346.0,medium
Amesbury,0.362,-0.11,12.6,301.5,26.2,9.5,458.3,19.7,0.233,91.4,57.0,54.3,1636.0,2931.0,51.7,5.44,159.0,10.2,50.1,4.3,8.5,39.7,5.6,2.41,30.0,16.5,5.7,30355,0.0,0.9,15.4,40.5,70.8,8.6,-0.016,22.7,24.1,193.0,22.6,6.6,0.5,0.008,87.0,155.0,0.09,12377.0,83.3,29.0,-0.03,31.5,3.0,20.5,0.914,8.8,91.2,70341.0,0.24,329,26.6,11203,0.64,27.3,10395,33.0,4367.0,medium
Amherst,0.268,-0.1,4.1,35.7,47.4,9.8,253.2,19.8,0.155,36.6,77.0,55.4,917.0,1654.0,51.1,6.15,102.0,10.0,15.5,4.2,19.0,21.4,13.8,2.44,27.3,43.1,3.5,15486,-0.16,0.1,14.5,21.3,42.4,49.0,-0.161,4.8,15.2,110.0,12.4,6.7,2.48,-0.001,653.0,91.0,0.16,18388.0,89.8,3.4,-0.127,35.6,6.9,17.4,0.914,16.7,83.3,66484.0,0.27,107,20.7,22425,0.52,50.2,11871,83.0,4320.0,high
Andover,0.182,-0.053,6.9,75.9,15.5,8.4,464.8,20.9,0.138,118.7,133.0,54.0,1896.0,3456.0,51.7,5.68,196.0,5.5,33.0,15.4,5.4,25.1,6.3,2.68,22.3,25.7,5.9,69120,0.0,0.2,10.2,43.1,73.5,22.2,-0.196,10.4,25.1,192.0,20.1,5.6,1.67,0.008,383.0,86.0,0.129,13836.0,80.1,14.6,0.017,41.2,0.3,7.1,0.817,8.6,91.5,77136.0,0.29,285,6.8,23490,0.42,25.6,21743,36.0,8928.0,high
Arlington,0.423,0.079,14.4,30.6,30.7,8.6,469.9,18.5,0.216,60.3,70.0,44.0,1015.0,1844.0,53.5,5.72,,11.3,22.8,14.7,12.0,54.5,6.7,2.24,34.1,29.8,8.4,43414,-0.05,0.3,9.3,41.7,39.8,23.0,-0.094,11.7,15.6,108.0,18.6,5.8,-0.03,0.01,835.0,120.0,0.232,12603.0,93.7,11.4,0.054,35.6,0.0,11.8,0.819,5.9,94.1,55373.0,0.5,199,11.7,30616,0.01,46.6,28551,68.0,12635.0,very high
Ashburnham,0.028,-0.179,9.2,634.8,29.5,9.8,416.0,,0.006,68.9,25.0,54.1,1097.0,2027.0,49.2,4.05,82.0,8.4,113.6,4.9,17.5,25.5,6.9,2.75,16.9,17.3,4.0,29006,-0.02,0.3,11.5,38.9,95.8,,0.205,39.6,36.3,139.0,22.9,6.8,1.34,0.003,2.0,97.0,0.115,,95.2,28.6,,34.0,100.0,4.8,0.944,13.4,86.6,,,403,16.2,4266,1.03,23.3,3827,9.0,1554.0,medium
Ashby,0.015,-0.201,6.2,188.7,64.4,10.7,430.4,,0.0,60.8,27.0,55.6,953.0,1695.0,49.7,2.79,47.0,9.5,134.9,0.0,39.6,25.1,7.6,2.78,15.5,19.1,7.7,26675,-0.07,1.3,9.8,43.1,96.1,,0.017,39.4,36.2,209.0,,12.3,1.1,0.01,15.0,102.0,0.167,,93.7,25.7,,27.5,112.7,7.7,0.919,6.5,93.5,,,450,6.4,2375,0.81,15.1,2023,-3.0,916.0,low
Ashfield,0.061,-0.023,5.2,213.0,5.7,11.1,495.7,,0.0,43.8,45.0,61.0,1261.0,1965.0,50.9,1.54,30.0,3.7,167.6,5.8,85.7,43.5,6.8,2.28,27.1,23.2,9.8,23826,0.06,0.0,23.0,46.2,74.7,,0.222,44.3,23.7,56.0,5.7,2.8,0.78,0.003,24.0,57.0,0.136,,92.5,18.4,,36.9,476.5,6.3,0.824,7.4,92.6,,,401,5.7,1359,0.55,32.0,1218,67.0,368.0,low
Ashland,0.348,-0.098,14.6,116.3,31.6,9.0,467.4,19.6,0.279,76.7,21.0,54.2,1441.0,2659.0,51.4,4.63,123.0,16.7,39.8,1.8,5.6,9.7,7.7,2.59,22.9,19.9,5.5,41094,-0.05,0.5,16.3,40.9,71.9,21.8,0.103,19.3,25.5,160.0,19.8,6.0,3.74,0.01,54.0,85.0,0.115,12183.0,90.7,17.5,-0.022,35.2,9.5,11.2,0.918,4.9,95.1,69830.0,0.4,325,8.3,10735,1.02,27.6,10444,42.0,5668.0,high
Athol,0.136,-0.24,11.4,226.2,76.6,10.8,418.1,,0.02,78.1,43.0,23.1,317.0,1341.0,50.8,11.07,148.0,22.0,105.9,2.6,21.4,48.2,6.3,2.46,28.4,17.0,7.7,17345,-0.04,2.8,19.9,38.2,64.8,,0.136,28.8,36.7,127.0,18.0,9.5,0.0,0.003,11.0,222.0,0.026,,86.9,21.7,,39.6,82.6,12.0,0.979,8.0,92.0,,,315,39.2,6661,0.15,21.4,5502,2.0,3469.0,low
Attleboro,0.229,-0.176,12.0,106.2,57.1,10.1,462.0,20.4,0.086,121.9,57.0,55.4,1163.0,2095.0,51.2,6.48,136.0,5.1,42.3,2.3,12.2,29.2,9.0,2.55,26.4,11.8,6.0,26131,-0.02,0.8,12.6,38.4,65.2,26.2,0.034,23.2,41.0,143.0,19.6,6.8,0.83,0.001,78.0,,0.133,11529.0,80.6,23.5,-0.006,37.0,2.7,31.2,0.903,9.7,90.3,,0.35,310,32.2,27280,0.8,25.2,23555,19.0,12353.0,medium
Auburn,0.12,-0.146,9.9,198.3,42.5,9.0,468.9,19.3,0.063,187.7,49.0,54.5,1352.0,2440.0,51.8,5.49,134.0,5.8,70.2,1.9,8.3,21.2,4.8,2.45,27.9,13.9,13.1,28712,0.01,1.0,16.7,44.1,63.6,11.5,0.012,20.4,35.0,209.0,27.6,8.6,0.83,0.003,15.0,361.0,0.211,12211.0,70.4,23.6,-0.01,48.1,41.2,16.1,0.937,6.1,93.9,61146.0,0.4,354,29.3,11784,0.31,28.7,10201,13.0,4108.0,high
Avon,0.111,-0.104,9.9,140.0,77.5,10.7,454.8,16.2,0.02,219.9,85.0,34.7,1454.0,3450.0,51.6,6.67,230.0,19.4,55.6,0.0,1.6,34.1,7.9,2.55,26.6,13.1,13.8,28123,0.03,2.1,29.8,43.6,59.4,39.9,-0.008,26.9,48.0,353.0,43.3,10.2,0.63,0.007,1.0,350.0,0.232,12656.0,53.1,23.0,-0.004,49.6,2.3,11.3,0.922,5.9,94.1,60160.0,0.45,426,20.3,3065,0.05,32.5,2697,21.0,1119.0,high
Ayer,0.347,-0.075,14.7,103.7,118.7,9.8,477.6,,0.156,78.6,78.0,47.3,1243.0,2484.0,49.7,6.37,158.0,14.2,55.6,5.4,11.0,26.1,12.1,2.3,33.6,18.4,2.1,26154,0.01,1.1,20.2,40.4,63.7,,-0.371,24.0,29.5,209.0,29.4,8.4,0.29,0.01,7.0,226.0,0.187,,64.1,21.9,,33.7,8.0,3.8,0.957,10.3,89.8,75201.0,,350,37.0,4961,0.77,24.9,4625,30.0,2109.0,high
Barnstable,0.09,,8.9,1003.7,79.7,10.7,492.7,17.2,0.061,46.3,65.0,50.9,1347.0,2445.0,51.8,,,12.1,65.2,18.8,10.0,13.0,10.2,2.33,29.0,22.0,4.7,29719,-0.06,1.6,29.9,47.0,56.3,20.6,0.123,20.8,28.5,218.0,27.9,8.9,3.31,-0.001,353.0,281.0,,13564.0,88.2,50.3,0.135,45.6,0.7,8.2,0.907,9.3,90.7,68127.0,0.21,418,62.1,32923,0.56,24.6,28427,18.0,8943.0,very high
Barre,0.098,-0.197,8.3,264.9,64.6,10.8,413.3,,0.001,68.5,32.0,52.0,826.0,1527.0,49.5,2.1,32.0,7.9,156.2,3.7,19.2,34.8,4.6,2.61,24.1,16.8,10.0,22782,-0.04,0.7,40.8,42.9,87.7,,0.215,35.6,35.1,84.0,20.3,5.5,0.58,0.003,57.0,146.0,0.153,,87.2,31.3,,45.1,223.4,8.6,0.97,15.5,84.5,,,388,23.8,3518,0.46,24.4,3157,0.38,1275.0,medium
Becket,0.005,-0.013,12.9,702.6,265.8,11.4,470.5,,0.0,208.5,36.0,48.0,1296.0,2665.0,49.6,0.79,21.0,11.6,186.1,22.5,19.7,16.3,2.9,2.33,27.7,9.2,2.5,19510,-0.06,1.1,61.8,49.3,90.9,,0.014,39.3,31.5,109.0,11.2,4.1,1.36,-0.006,13.0,,0.19,,91.4,19.7,,32.7,401.6,4.1,0.911,5.2,94.8,,,508,,1354,0.88,28.6,1195,29.0,488.0,medium
Bedford,0.185,0.004,9.1,105.1,23.8,8.7,527.0,15.5,0.1,104.7,98.0,45.9,2413.0,5024.0,50.1,3.29,166.0,13.4,45.9,8.3,6.6,10.5,4.5,2.5,25.6,28.2,8.7,52676,-0.01,0.3,14.3,43.4,62.6,26.8,0.083,19.5,25.5,230.0,29.1,4.6,1.54,0.01,211.0,56.0,0.241,16600.0,78.6,13.9,0.039,47.9,2.2,6.6,0.944,12.6,87.4,78282.0,0.39,338,5.2,9842,0.48,27.4,8859,48.0,3646.0,high
Belchertown,0.076,-0.088,10.0,337.2,,10.4,450.0,18.4,0.027,78.6,48.0,55.5,1546.0,2787.0,51.3,0.98,27.0,14.2,118.4,2.0,16.0,7.9,7.5,2.62,21.7,16.1,1.6,28327,-0.02,0.5,9.6,40.5,80.4,9.1,0.374,34.1,23.8,120.0,15.6,4.3,2.26,-0.002,80.0,106.0,0.118,11396.0,92.1,24.8,-0.061,37.1,103.3,37.9,0.958,9.4,90.6,63046.0,0.34,382,12.9,9732,1.53,28.4,9609,25.0,3680.0,medium
Bellingham,0.172,-0.158,11.4,179.4,23.1,9.4,478.8,19.6,0.111,145.4,37.0,57.0,1369.0,2403.0,51.4,4.4,106.0,5.3,62.5,0.0,,9.5,5.5,2.65,21.4,16.5,6.8,30736,-0.01,0.2,21.4,38.4,80.5,9.6,0.087,30.7,42.9,158.0,20.7,6.6,2.98,0.007,44.0,,0.165,11906.0,70.4,28.3,-0.08,37.2,8.5,22.6,,5.1,94.9,68328.0,0.36,368,,10795,0.52,26.4,9889,8.0,5073.0,low
Belmont,0.417,0.032,11.9,33.6,37.6,8.8,451.7,21.3,0.18,71.9,114.0,53.2,1499.0,2464.0,53.0,6.19,152.0,6.2,22.3,2.0,2.1,64.2,9.1,2.54,24.2,32.3,7.9,65808,-0.13,0.2,5.7,41.5,41.2,28.4,-0.052,8.8,19.8,163.0,22.5,6.6,-0.1,0.01,920.0,116.0,0.157,12259.0,94.3,8.7,0.052,45.6,0.0,7.8,0.871,10.7,89.3,79489.0,0.51,222,7.5,17821,0.01,36.1,15356,59.0,7148.0,high
Berkley,0.026,-0.136,10.1,444.5,76.3,10.0,434.4,18.1,0.01,73.3,18.0,67.2,1621.0,2380.0,50.7,0.86,21.0,6.5,130.6,0.0,17.6,8.0,5.9,3.03,12.2,10.2,3.5,29488,0.01,0.3,10.9,38.0,106.0,4.7,0.167,40.4,65.4,99.0,9.3,4.1,3.99,0.001,7.0,116.0,0.206,11089.0,95.4,56.3,-0.087,35.7,10.9,30.7,0.933,9.0,91.1,,0.39,400,10.8,4424,2.15,22.8,4113,-12.0,1769.0,low
Berlin,0.193,-0.181,9.8,244.2,,11.0,468.6,14.0,0.107,196.1,42.0,55.7,1756.0,3063.0,50.5,2.32,71.0,10.9,133.5,7.0,13.4,26.9,5.0,2.54,21.8,20.8,13.1,39009,0.01,1.4,20.9,46.2,89.4,7.9,0.163,34.9,35.6,228.0,38.2,7.4,1.12,0.004,3.0,148.0,0.081,16384.0,74.2,31.8,-0.067,45.3,41.7,7.1,0.859,7.3,92.7,,0.3,421,3.4,2103,0.68,18.8,2265,25.0,677.0,very high
Bernardston,0.046,-0.082,5.2,239.5,28.1,10.8,488.0,,0.0,114.1,31.0,61.1,1091.0,1697.0,50.0,2.1,36.0,5.1,157.4,9.4,9.6,30.0,5.3,2.39,24.3,15.4,7.9,25355,0.02,0.5,32.9,45.5,72.8,,-0.065,33.8,16.9,96.0,14.0,5.7,0.91,0.003,8.0,130.0,0.031,,85.8,15.0,,47.7,473.1,6.3,0.949,7.2,92.8,,,432,18.6,1504,0.45,18.0,1375,36.0,491.0,high
Beverly,0.239,-0.087,10.1,257.5,32.7,9.4,438.4,21.0,0.107,84.5,72.0,49.7,1025.0,2026.0,52.6,6.73,136.0,10.6,39.5,5.1,9.1,44.5,5.8,2.33,31.3,15.9,10.1,36185,-0.06,0.9,17.2,40.3,48.6,16.1,-0.029,18.8,25.2,157.0,17.4,7.8,0.37,0.007,215.0,158.0,0.147,12818.0,85.7,26.0,0.027,37.8,1.8,11.1,0.822,9.6,90.4,69535.0,0.33,288,20.7,25780,0.16,26.9,24450,39.0,9672.0,high
Billerica,0.138,-0.089,11.5,134.2,30.5,9.2,445.2,20.0,0.076,76.5,41.0,48.5,1385.0,2733.0,49.6,5.85,160.0,8.8,61.0,2.0,4.8,12.8,5.5,2.79,19.7,16.5,8.7,31054,0.07,0.7,10.2,38.7,73.2,12.2,-0.039,27.2,57.3,159.0,18.5,5.8,2.63,0.01,68.0,115.0,0.129,12872.0,75.9,19.2,-0.096,37.5,2.2,16.5,0.949,5.8,94.2,63885.0,0.4,360,13.7,26216,0.57,28.7,24644,11.0,11270.0,medium
Blackstone,0.258,-0.172,11.3,189.5,21.0,10.4,474.4,,0.1,67.7,50.0,48.8,871.0,1658.0,51.8,5.84,97.0,5.1,81.9,8.9,5.4,34.3,5.8,2.64,22.7,11.3,6.9,25029,0.04,0.1,14.4,41.6,68.7,,0.531,38.3,40.8,120.0,20.9,7.3,0.82,0.003,17.0,138.0,0.19,,78.7,26.5,,36.1,7.7,6.0,0.975,8.4,91.6,,,361,16.4,6273,0.87,26.9,5135,-2.0,2317.0,low
Blandford,0.015,-0.045,4.9,608.3,,10.6,391.7,,0.0,285.5,39.0,57.2,1290.0,2137.0,48.1,0.99,21.0,4.3,206.6,8.1,6.1,37.1,1.7,2.51,20.9,13.9,8.3,26635,0.02,0.0,8.1,46.7,84.9,,0.286,51.1,40.7,27.0,,1.3,1.07,0.001,,112.0,0.086,,83.7,34.1,,35.9,275.5,5.0,0.957,18.4,81.6,,,509,0.0,842,0.35,17.7,775,-19.0,277.0,low
Bolton,0.082,-0.114,8.2,134.8,,9.3,458.4,,0.058,173.2,74.0,61.8,2371.0,3837.0,50.5,0.65,25.0,4.6,82.2,6.1,4.6,9.8,6.3,2.93,12.1,33.4,2.8,63258,-0.04,0.0,10.2,42.9,104.2,,0.32,27.8,24.0,180.0,30.4,4.7,4.12,0.004,58.0,95.0,0.167,,91.9,24.9,,40.6,30.5,3.2,0.977,6.5,93.5,,,375,20.2,3519,1.24,20.0,3762,37.0,1105.0,very high
Boston,0.745,,12.7,37.6,55.7,9.3,310.7,17.7,0.399,45.3,74.0,36.3,1334.0,3515.0,52.1,8.19,288.0,13.0,9.8,4.3,1.5,56.4,16.8,2.26,37.1,21.7,3.8,34410,-0.05,2.8,20.1,30.8,28.1,86.9,-0.255,5.9,35.0,437.0,43.8,12.4,-0.23,0.012,6785.0,291.0,,17283.0,65.2,9.0,-0.014,24.3,0.1,16.0,0.867,28.2,71.8,83354.0,0.45,162,83.5,387040,0.74,54.7,293796,67.0,203018.0,medium
Bourne,0.139,-0.131,8.6,1322.3,114.0,9.6,438.3,18.1,0.1,134.0,31.0,48.3,1110.0,2300.0,48.9,6.64,153.0,8.5,77.4,1.5,10.7,17.9,6.0,2.3,29.8,19.5,4.7,27261,-0.09,0.8,21.3,42.9,73.3,11.6,0.29,24.3,25.6,167.0,22.1,7.3,3.19,0.0,153.0,275.0,0.114,13629.0,87.6,47.3,-0.138,46.9,0.5,11.3,0.909,20.7,79.3,65670.0,0.3,378,38.2,13645,0.93,22.3,12119,10.0,3843.0,medium
Boxborough,0.411,-0.066,7.6,136.1,25.7,8.6,514.0,19.7,0.338,43.6,68.0,60.7,2365.0,3763.0,48.9,3.94,148.0,10.6,54.3,4.0,2.9,6.3,7.2,2.56,25.6,28.0,0.4,57213,0.07,0.0,8.0,42.1,82.3,38.6,-0.297,14.2,23.6,260.0,31.8,6.9,10.38,0.011,76.0,96.0,0.114,15527.0,75.3,20.0,-0.169,20.0,5.9,9.6,0.959,3.8,96.2,77786.0,0.23,311,2.0,3582,1.31,23.4,3402,51.0,1069.0,very high
Boxford,0.002,-0.139,5.3,144.4,16.2,9.4,487.3,16.3,0.001,61.6,47.0,65.7,2146.0,2838.0,50.8,1.75,50.0,6.6,94.9,11.3,12.5,7.2,3.6,2.96,11.4,26.7,5.4,82523,0.01,0.0,1.3,44.4,95.5,5.7,0.133,18.2,31.6,135.0,16.2,4.8,7.6,0.008,140.0,46.0,0.09,13335.0,96.5,26.7,-0.171,51.1,2.5,8.7,0.888,7.4,92.6,71559.0,0.22,374,0.0,6030,0.79,15.1,5543,15.0,1530.0,high
Boylston,0.149,-0.137,7.1,195.2,43.5,8.9,490.7,17.4,0.082,77.8,40.0,58.8,1588.0,2689.0,52.0,2.4,65.0,12.2,85.1,4.6,13.7,19.3,7.3,2.56,22.8,21.4,8.5,45587,-0.05,0.0,13.8,44.2,82.1,8.3,-0.009,25.9,27.7,212.0,29.7,7.9,1.56,0.004,42.0,,0.197,13409.0,89.4,30.8,-0.003,40.1,50.3,6.3,0.862,17.2,82.8,72001.0,0.35,375,,3162,0.6,19.4,3304,17.0,1016.0,very high
Braintree,0.191,-0.099,10.4,139.0,,9.1,427.2,18.5,0.122,112.2,59.0,56.1,1424.0,2497.0,52.8,7.89,197.0,7.6,30.1,0.8,2.5,28.1,7.1,2.56,27.4,15.5,11.1,33317,-0.01,0.5,14.5,40.5,56.5,20.5,-0.079,13.4,43.3,206.0,23.4,8.2,0.54,0.007,100.0,193.0,0.105,11564.0,76.4,17.8,0.037,43.9,2.2,14.5,0.905,7.4,92.6,63652.0,0.43,337,8.3,25124,0.2,36.3,21795,18.0,10372.0,high
Brewster,0.216,-0.135,6.6,591.6,60.1,11.0,487.2,18.9,0.178,69.0,274.0,45.6,1601.0,3316.0,53.7,5.21,173.0,13.5,86.8,5.1,3.5,7.3,2.0,2.17,30.2,26.9,2.3,28424,-0.07,0.1,28.5,53.6,65.1,12.9,0.116,19.6,16.2,195.0,25.3,5.9,8.95,-0.001,121.0,171.0,0.153,17748.0,94.2,64.3,-0.075,55.1,6.1,5.7,0.99,7.1,92.9,72995.0,0.04,446,15.1,8198,1.26,25.1,7436,35.0,1444.0,high
Bridgewater,0.202,-0.147,8.2,155.8,,9.4,365.3,,0.115,90.8,19.0,57.8,896.0,1510.0,48.5,8.2,124.0,11.8,53.4,0.4,15.7,20.3,5.9,2.73,20.7,12.8,4.7,25458,0.02,0.6,13.6,37.0,82.0,,0.055,20.9,43.8,109.0,18.3,7.2,1.79,0.004,42.0,,0.191,,86.8,24.7,,36.8,6.4,8.0,0.901,15.3,84.7,,,297,,15787,0.87,25.9,14616,8.0,6437.0,medium
Brimfield,0.008,-0.09,7.8,526.5,,10.2,453.3,15.1,0.0,90.6,27.0,71.0,1572.0,2097.0,50.4,1.43,30.0,6.4,148.4,2.8,11.7,12.8,5.0,2.53,23.7,17.9,7.2,30343,0.08,0.8,13.9,41.8,96.5,3.0,0.191,44.9,28.0,40.0,,1.9,2.05,0.001,2.0,88.0,0.119,13626.0,88.5,24.7,-0.057,45.1,94.2,18.9,0.973,6.9,93.1,62653.0,0.44,449,16.5,2618,0.85,20.8,2314,-6.0,956.0,low
Brockton,0.265,-0.23,15.1,57.8,109.9,10.9,365.3,19.9,0.079,124.6,21.0,61.2,1639.0,2630.0,51.9,7.69,202.0,6.8,26.6,1.7,4.3,41.6,39.5,2.76,26.9,9.2,7.2,17476,-0.01,3.4,11.6,35.2,45.8,75.6,-0.123,11.9,76.0,179.0,20.8,6.8,0.49,0.005,167.0,326.0,0.171,12999.0,77.1,16.8,0.084,36.2,0.4,45.8,0.963,15.9,84.1,,0.39,222,114.3,55039,0.37,50.9,38712,54.0,25799.0,medium
Brookfield,0.102,-0.184,11.5,469.0,,10.1,442.8,18.2,0.014,49.3,36.0,61.9,1230.0,1983.0,50.5,0.88,17.0,9.0,140.3,8.8,27.0,27.0,7.4,2.46,25.7,11.2,6.8,23237,-0.17,0.3,17.7,43.9,83.9,7.7,0.315,43.1,37.1,96.0,11.7,4.8,1.16,0.003,3.0,,0.084,11386.0,93.2,26.0,0.078,45.6,150.0,26.3,0.961,12.5,87.5,73645.0,0.26,442,,2261,0.7,20.2,2054,-5.0,895.0,low
Brookline,0.703,,11.8,10.0,30.1,8.0,338.1,17.7,0.567,39.0,103.0,41.4,1364.0,3288.0,55.0,6.76,222.0,20.7,9.9,16.5,,55.4,6.7,2.27,33.4,40.3,3.0,58434,-0.23,0.2,16.2,35.7,24.2,42.5,-0.356,4.7,11.3,240.0,25.0,7.3,0.02,0.007,2410.0,135.0,,16626.0,90.5,5.1,0.125,31.2,0.0,5.8,0.866,10.9,89.1,80485.0,0.56,135,13.7,40353,0.21,48.3,31084,76.0,17307.0,medium
Buckland,0.101,-0.014,11.0,120.9,,10.9,453.2,,0.004,25.8,31.0,56.5,1014.0,1578.0,52.2,,,5.3,,15.8,4.0,56.1,6.8,2.3,27.9,24.3,13.2,17209,-0.15,0.0,26.3,41.2,66.0,,0.605,36.3,24.3,73.0,10.4,4.6,0.19,0.003,15.0,,0.059,,80.4,6.8,,39.6,246.3,7.1,0.916,10.5,89.5,,,371,,1330,0.3,27.4,1191,52.0,440.0,low
Burlington,0.073,-0.056,12.7,74.3,,8.7,484.7,18.8,0.064,142.3,122.0,51.1,1949.0,3637.0,51.2,6.8,247.0,11.1,52.8,1.6,3.4,4.4,7.3,2.64,23.2,18.4,10.7,35843,0.02,0.4,13.9,40.8,64.0,25.7,0.017,14.5,50.6,253.0,28.8,7.0,6.54,0.01,132.0,253.0,0.129,15893.0,63.9,15.3,-0.012,43.9,0.8,6.7,0.942,9.1,90.9,84265.0,0.47,306,15.6,17123,0.33,29.8,15346,25.0,7537.0,high
Cambridge,0.822,,11.6,24.9,50.8,9.1,327.2,15.9,0.563,91.9,159.0,28.8,1076.0,3613.0,51.4,6.06,219.0,14.0,10.6,19.9,3.4,56.8,10.7,2.0,40.7,39.0,3.6,47665,-0.02,1.1,25.6,31.2,23.2,61.7,-0.214,6.6,13.4,277.0,29.3,7.7,-0.13,0.008,4313.0,290.0,,27018.0,61.7,5.7,0.078,23.7,0.0,5.8,0.824,,96.3,82076.0,0.45,111,40.3,69357,0.49,57.9,54795,85.0,34095.0,high
Canton,0.23,-0.05,9.6,87.7,34.5,8.4,468.6,19.9,0.166,125.6,67.0,53.1,1477.0,2681.0,52.7,6.83,183.0,7.7,42.2,1.9,,13.9,7.8,2.54,27.0,19.7,9.5,48744,0.0,0.4,16.7,41.0,62.7,24.8,-0.065,14.0,32.9,171.0,19.8,6.4,1.89,0.007,152.0,119.0,0.171,13153.0,77.6,17.1,0.053,48.4,2.3,7.6,,9.2,90.9,72299.0,0.43,352,16.0,15506,0.28,33.0,14485,29.0,5716.0,high
